system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,dev,0.962,0.955,0.958,0.944,0.967,0.955,0.903,0.84,0.87,0.936,0.921,0.928
baseline,test,0.971,0.962,0.966,0.946,0.978,0.962,0.933,0.844,0.886,0.95,0.928,0.938
improved,train,0.998,1.0,0.999,1.0,1.0,1.0,1.0,0.998,0.999,0.999,0.999,0.999
improved,dev,0.984,0.961,0.972,0.979,0.996,0.987,0.984,0.954,0.969,0.982,0.97,0.976
improved,test,0.982,0.973,0.977,0.985,0.994,0.989,0.988,0.967,0.977,0.985,0.978,0.981
