system,split,p-quran,r-quran,f-quran,p-ot,r-ot,f-ot,p-nt,r-nt,f-nt,p-macro,r-macro,f-macro
baseline,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,dev,0.962,0.955,0.958,0.944,0.967,0.955,0.903,0.84,0.87,0.936,0.921,0.928
baseline,test,0.971,0.962,0.966,0.946,0.978,0.962,0.933,0.844,0.886,0.95,0.928,0.938
improved,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
improved,dev,0.964,0.943,0.953,0.933,0.962,0.947,0.91,0.863,0.886,0.935,0.923,0.929
improved,test,0.977,0.958,0.968,0.969,0.963,0.966,0.894,0.93,0.912,0.947,0.95,0.948
